Country,Country_Count
UK,2059
Turkey,120
Spain,109
Morocco,36
Egypt,33
Cyprus,29
Portugal,25
Greece,25
France,22
Italy,22
India,15
Mexico,14
Indonesia,13
Poland,13
Israel,12
Ireland,12
Pakistan,10
UAE,10
USA,10
"Cape Verde",9
Kenya,8
Malta,7
Tanzania,7
Bulgaria,6
Croatia,4
Algeria,4
Denmark,4
Bangladesh,4
Albania,4
Tunisia,4
Azerbaijan,4
Hungary,4
Cuba,3
Thailand,3
"New Zealand",3
Holland,3
Serbia,3
Belgium,3
"South Africa",3
Antigua,3
Australia,3
China,3
"Czech Republic",2
Ghana,2
Nigeria,2
Qatar,2
Peru,2
Iran,2
Japan,2
Germany,2
"Saudi Arabia",2
"Puerto Rico",1
Romania,1
Austria,1
Barbados,1
"Saudia Arabia",1
Philipines,1
Argentina,1
"Dominican Republic",1
Canada,1
"Faroe Islands",1
Jamaica,1
Guernsey,1
"St Vincent and the Grenadines",1
Vietnam,1
Madagascar,1
Bhutan,1
Uganda,1
Switzerland,1
Jordan,1
Maldives,1
Slovakia,1
